Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16339336k(8876912k free), swap 33116552k(22784992k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-27T23:29:33.938+0800: 0.319: [Full GC (Ergonomics) [PSYoungGen: 14786K->14514K(29184K)] [ParOldGen: 86959K->86959K(87552K)] 101745K->101473K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0015476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:29:33.940+0800: 0.321: [Full GC (Ergonomics) [PSYoungGen: 14688K->14586K(29184K)] [ParOldGen: 86959K->86959K(87552K)] 101648K->101545K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0015527 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:29:33.942+0800: 0.323: [Full GC (Ergonomics) [PSYoungGen: 14840K->14622K(29184K)] [ParOldGen: 87421K->87031K(87552K)] 102262K->101653K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0014933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:29:33.944+0800: 0.324: [Full GC (Ergonomics) [PSYoungGen: 14786K->14766K(29184K)] [ParOldGen: 87031K->86959K(87552K)] 101817K->101725K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0015133 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:29:33.945+0800: 0.326: [Full GC (Ergonomics) [PSYoungGen: 14766K->14622K(29184K)] [ParOldGen: 87292K->87058K(87552K)] 102059K->101681K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0015517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:29:33.947+0800: 0.328: [Full GC (Ergonomics) [PSYoungGen: 14823K->14809K(29184K)] [ParOldGen: 87376K->87113K(87552K)] 102199K->101923K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0014613 secs] [Times: user=0.00 sys=0.03, real=0.00 secs] 
2020-10-27T23:29:33.949+0800: 0.329: [Full GC (Ergonomics) [PSYoungGen: 14841K->14809K(29184K)] [ParOldGen: 87463K->87463K(87552K)] 102304K->102273K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0015037 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T23:29:33.950+0800: 0.331: [Full GC (Allocation Failure) [PSYoungGen: 14809K->14809K(29184K)] [ParOldGen: 87463K->87444K(87552K)] 102273K->102253K(116736K), [Metaspace: 2703K->2703K(1056768K)], 0.0197759 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
Heap
 PSYoungGen      total 29184K, used 14848K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 100% used [0x00000000fd580000,0x00000000fe400000,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
  to   space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
 ParOldGen       total 87552K, used 87444K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd565118,0x00000000fd580000)
 Metaspace       used 2734K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 294K, capacity 386K, committed 512K, reserved 1048576K
